,City,Club,State,URL
0,Birmingham,Alabama Mineral & Lapidary Society,Alabama,http://www.lapidaryclub.com/
1,Dothan,Dothan Gem & Mineral Club,Alabama,http://www.wiregrassrockhounds.com/
2,Huntsville,Huntsville Gem and Mineral Society,Alabama,http://huntsvillegms.org/
3,Mobile,Mobile Rock & Gem Society,Alabama,http://www.mobilerockandgem.com/
4,Montgomery,Montgomery Gem & Mineral Society,Alabama,http://montgomerygemandmineralsociety.com/mgms/
5,Anchorage,Chugach Gem & Mineral Society,Alaska,http://www.chugachgemandmineralsociety.com/
6,Palmer,Mat-Su Rock and Mineral Club,Alaska,http://matsurockclub.com/
7,Apache Junction,Apache Junction Rock and Gem Club,Arizona,http://www.ajrockclub.com/
8,Black Canyon City,Black Canyon City Rock Club,Arizona,http://www.bccrockclub.mysite.com/
9,Anthem,Daisy Mountain Rock & Mineral Club,Arizona,http://www.dmrmc.com/
10,Miami,Gila County Gem & Mineral Society,Arizona,http://gilagem.org/
11,Sierra Vista,Huachuca Mineral and Gem Club,Arizona,http://www.huachucamineralandgemclub.info/
12,Lake Havasu City,Lake Havasu Gem & Mineral Society,Arizona,http://www.lakehavasugms.org/
13,Scottsdale,Mineralogical Society of Arizona,Arizona,http://www.msaaz.org/
14,Cottonwood,Mingus Gem & Mineral Club,Arizona,http://www.mingusclub.org/
15,Kingman,Mohave County Gemstoners,Arizona,http://www.gemstoners.org/
16,Tucson,Old Pueblo Lapidary Club,Arizona,http://www.lapidaryclub.org/
17,Prescott Valley,Prescott Gem & Mineral Club,Arizona,http://www.prescottgemmineral.org/
18,Quartzsite,Quartzsite Roadrunners Gem & Mineral Club,Arizona,http://www.qrgmc.org/
19,Phoenix,Rockhounds West,Arizona,http://rockhounds.scwclubs.com/
20,Sedona,Sedona Gem & Mineral Club,Arizona,http://www.sedonagemandmineral.org/
21,Bullhead City,Silvery Colorado River Rock Club,Arizona,http://scrrc.blogspot.com/
22,Pearce,Sunsites Gem and Mineral Club,Arizona,https://sites.google.com/site/cochisecountyrock/
23,Tucson,Tucson Gem and Mineral Society,Arizona,http://www.tgms.org/
24,Cottonwood,Verde River Rockhounds,Arizona,http://www.verderiverrockhounds.com/
25,Buckeye,West Valley Rock & Mineral Club,Arizona,http://www.westvalleyrockandmineralclub.com/
26,Show Low,White Mountain Gem & Mineral Club,Arizona,http://whitemountain-azrockclub.org/
27,Wickenburg,Wickenburg Gem and Mineral Society,Arizona,http://www.wickenburggms.org/
28,Little Rock,"Central Arkansas Gem, Mineral and Geology Society",Arkansas,http://www.centralarrockhound.org/
29,Siloam Springs,Northwest Arkansas Gem & Mineral Society,Arkansas,http://www.nwarockhounds.org/
30,Mountain Home,"Ozark Earth Science Gem, Mineral & Fossil Club",Arkansas,https://www.ozarkearthscience.com/
31,Sutter Creek,Amador County Gem & Mineral Society,California,http://www.amadorgemandmineral.org/
32,Anaheim,American Opal Society,California,http://www.opalsociety.org/
